Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
9,Kevin Martin,27,HOU,SG,80,80,2603,553,1267,.436,176,459,.383,377,808,.467,.506,594,669,.888,28,230,258,198,80,15,184,155,1876,0,,martike02
10,Blake Griffin,21,LAC,PF,82,82,3112,696,1376,.506,7,24,.292,689,1352,.510,.508,446,695,.642,270,719,989,312,63,45,223,252,1845,2,MVP-10ROY-1AS,griffbl01
11,Russell Westbrook,22,OKC,PG,82,82,2847,614,1390,.442,34,103,.330,580,1287,.451,.454,531,631,.842,121,258,379,670,155,30,316,207,1793,3,ASNBA2,westbru01
12,Dwight Howard,25,ORL,C,78,78,2935,619,1044,.593,0,7,.000,619,1037,.597,.593,546,916,.596,309,789,1098,107,107,186,279,258,1784,0,MVP-2DPOY-1ASNBA1DEF1,howardw01
13,LaMarcus Aldridge,25,POR,PF,81,81,3211,707,1415,.500,4,23,.174,703,1392,.505,.501,351,444,.791,278,431,709,170,82,94,153,220,1769,0,NBA3,aldrila01
14,Dirk Nowitzki,32,DAL,PF,73,73,2504,610,1179,.517,66,168,.393,544,1011,.538,.545,395,443,.892,50,463,513,190,38,47,137,172,1681,0,MVP-6ASNBA2,nowitdi01
15,Brook Lopez,22,NJN,C,82,82,2889,644,1309,.492,0,1,.000,644,1308,.492,.492,385,489,.787,197,291,488,129,47,120,176,240,1673,0,,lopezbr01
16,Danny Granger,27,IND,SF,79,79,2763,535,1260,.425,157,407,.386,378,853,.443,.487,395,466,.848,87,338,425,203,89,62,206,213,1622,0,,grangda01
17,Pau Gasol,30,LAL,C,82,82,3037,593,1120,.529,1,3,.333,592,1117,.530,.530,354,430,.823,268,568,836,273,48,130,142,203,1541,1,ASNBA2,gasolpa01
18,Al Jefferson,26,UTA,C,82,82,2940,654,1319,.496,0,0,,654,1319,.496,.496,220,289,.761,235,559,794,149,46,153,105,238,1528,0,,jeffeal01
19,Paul Pierce,33,BOS,SF,80,80,2774,507,1021,.497,111,297,.374,396,724,.547,.551,386,449,.860,34,396,430,260,80,51,171,231,1511,1,AS,piercpa01
20,Zach Randolph,29,MEM,PF,75,74,2724,598,1188,.503,8,43,.186,590,1145,.515,.507,300,396,.758,326,588,914,163,63,25,151,175,1504,0,NBA3,randoza01
21,Kevin Love,22,MIN,PF,73,73,2611,482,1026,.470,88,211,.417,394,815,.483,.513,424,499,.850,330,782,1112,184,45,28,155,148,1476,0,MIP-1AS,loveke01
22,Chris Bosh,26,MIA,PF,77,77,2795,524,1056,.496,6,25,.240,518,1031,.502,.499,384,471,.815,141,500,641,144,59,49,138,172,1438,0,AS,boshch01
23,Luol Deng,25,CHI,SF,82,82,3208,531,1155,.460,115,333,.345,416,822,.506,.510,253,336,.753,116,360,476,230,78,48,156,162,1430,0,DPOY-10,denglu01
24,Andrea Bargnani,25,TOR,C,66,66,2353,525,1173,.448,77,223,.345,448,950,.472,.480,287,350,.820,74,269,343,119,34,46,152,160,1414,0,,bargnan01
25,DeMar DeRozan,21,TOR,SG,82,82,2851,539,1154,.467,5,52,.096,534,1102,.485,.469,327,402,.813,75,240,315,148,85,31,144,217,1410,0,,derozde01
26,Michael Beasley,22,MIN,SF,73,73,2361,561,1246,.450,60,164,.366,501,1082,.463,.474,219,291,.753,118,291,409,158,54,52,195,222,1401,0,,beaslmi01
27,Manu Ginóbili,33,SAS,SG,80,79,2426,441,1018,.433,154,441,.349,287,577,.497,.509,357,410,.871,42,253,295,393,123,28,174,163,1393,0,MVP-8ASNBA3,ginobma01
28,Stephen Curry,22,GSW,PG,74,74,2489,505,1053,.480,151,342,.442,354,711,.498,.551,212,227,.934,52,234,286,432,109,20,226,233,1373,0,,curryst01
29,Tony Parker,28,SAS,PG,78,78,2528,555,1069,.519,25,70,.357,530,999,.531,.531,233,303,.769,30,208,238,513,90,3,200,135,1368,0,MVP-12,parketo01
30,Luis Scola,30,HOU,PF,74,74,2412,569,1129,.504,0,3,.000,569,1126,.505,.504,214,290,.738,147,459,606,185,48,44,147,227,1352,0,,scolalu01
31,Dorell Wright,25,GSW,SF,82,82,3147,485,1146,.423,194,516,.376,291,630,.462,.508,180,228,.789,88,343,431,242,124,63,133,171,1344,0,,wrighdo01
32,David West,30,NOH,PF,70,70,2451,528,1040,.508,2,9,.222,526,1031,.510,.509,264,327,.807,155,374,529,164,67,62,142,202,1322,0,,westda01
33,Ray Allen,35,BOS,SG,80,80,2890,480,978,.491,168,378,.444,312,600,.520,.577,193,219,.881,51,223,274,219,77,16,117,147,1321,0,AS,allenra02
34,Paul Millsap,25,UTA,PF,76,76,2605,525,988,.531,9,23,.391,516,965,.535,.536,256,338,.757,164,415,579,187,103,69,145,272,1315,0,,millspa01
35,Joe Johnson,29,ATL,SG,72,72,2554,514,1161,.443,89,300,.297,425,861,.494,.481,195,243,.802,59,232,291,338,47,7,146,131,1312,0,AS,johnsjo02
36,Deron Williams,26,2TM,PG,65,65,2465,428,975,.439,105,317,.331,323,658,.491,.493,348,412,.845,40,220,260,667,79,15,230,190,1309,0,AS,willide01
36,Deron Williams,26,UTA,PG,53,53,2009,369,806,.458,89,258,.345,280,548,.511,.513,302,354,.853,32,173,205,514,64,12,187,152,1129,0,,willide01
36,Deron Williams,26,NJN,PG,12,12,456,59,169,.349,16,59,.271,43,110,.391,.396,46,58,.793,8,47,55,153,15,3,43,38,180,0,,willide01
37,Wesley Matthews,24,POR,SG,82,69,2758,440,979,.449,154,378,.407,286,601,.476,.528,266,315,.844,48,210,258,164,102,9,138,195,1300,0,,matthwe02
38,Jason Terry,33,DAL,SG,82,10,2564,492,1091,.451,127,351,.362,365,740,.493,.509,182,214,.850,24,129,153,334,93,13,167,140,1293,0,6MOY-2,terryja01
39,Josh Smith,25,ATL,PF,77,77,2645,497,1041,.477,51,154,.331,446,887,.503,.502,229,316,.725,134,523,657,255,99,120,197,217,1274,1,DPOY-25,smithjo03
40,Chris Paul,25,NOH,PG,80,80,2880,430,928,.463,71,183,.388,359,745,.482,.502,337,384,.878,38,289,327,782,188,5,177,196,1268,0,MVP-13DPOY-12ASNBA3DEF2,paulch01
41,Jason Richardson,30,2TM,SG,80,80,2715,472,1056,.447,189,479,.395,283,577,.490,.536,116,159,.730,67,264,331,147,93,13,95,162,1249,0,,richaja01
41,Jason Richardson,30,PHO,SG,25,25,796,183,389,.470,62,148,.419,121,241,.502,.550,55,72,.764,33,78,111,36,27,3,30,46,483,0,,richaja01
41,Jason Richardson,30,ORL,SG,55,55,1919,289,667,.433,127,331,.384,162,336,.482,.528,61,87,.701,34,186,220,111,66,10,65,116,766,0,,richaja01
42,Eric Gordon,22,LAC,SG,56,56,2112,427,949,.450,106,291,.364,321,658,.488,.506,287,348,.825,45,119,164,244,71,18,151,115,1247,0,,gordoer01
43,Stephen Jackson,32,CHA,SG,67,67,2405,435,1059,.411,121,359,.337,314,700,.449,.468,249,305,.816,53,251,304,241,80,28,209,161,1240,1,,jacksst02
44,Elton Brand,31,PHI,PF,81,81,2809,502,981,.512,0,1,.000,502,980,.512,.512,213,273,.780,237,439,676,120,92,106,101,244,1217,0,,brandel01
45,Chauncey Billups,34,2TM,PG,72,72,2310,339,794,.427,146,363,.402,193,431,.448,.519,384,419,.916,25,165,190,387,71,14,177,146,1208,0,,billuch01
45,Chauncey Billups,34,DEN,PG,51,51,1646,235,536,.438,105,238,.441,130,298,.436,.536,265,287,.923,12,113,125,271,52,12,129,94,840,0,,billuch01
45,Chauncey Billups,34,NYK,PG,21,21,664,104,258,.403,41,125,.328,63,133,.474,.483,119,132,.902,13,52,65,116,19,2,48,52,368,0,,billuch01
46,David Lee,27,GSW,PF,73,73,2634,496,978,.507,1,3,.333,495,975,.508,.508,210,267,.787,217,497,714,233,74,31,170,211,1203,0,,leeda02
47,Lamar Odom,31,LAL,PF,82,35,2639,473,893,.530,68,178,.382,405,715,.566,.568,166,246,.675,175,535,710,249,47,61,139,200,1180,0,6MOY-1,odomla01
48,D.J. Augustin,23,CHA,PG,82,82,2757,399,958,.416,111,333,.333,288,625,.461,.474,269,297,.906,38,187,225,498,54,3,155,152,1178,0,,augusdj01
49,Al Horford,24,ATL,C,77,77,2704,513,921,.557,2,4,.500,511,917,.557,.558,150,188,.798,182,536,718,266,59,80,119,193,1178,0,ASNBA3,horfoal01
50,Raymond Felton,26,2TM,SG,75,54,2737,427,1005,.425,116,329,.353,311,676,.460,.483,194,241,.805,48,221,269,625,125,11,221,150,1164,1,,feltora01
50,Raymond Felton,26,NYK,PG,54,54,2074,339,801,.423,88,268,.328,251,533,.471,.478,157,181,.867,40,154,194,488,97,11,176,113,923,1,,feltora01
50,Raymond Felton,26,DEN,SG,21,0,663,88,204,.431,28,61,.459,60,143,.420,.500,37,60,.617,8,67,75,137,28,0,45,37,241,0,,feltora01
51,Jrue Holiday,20,PHI,PG,82,82,2901,446,999,.446,81,222,.365,365,777,.470,.487,172,209,.823,68,264,332,531,120,29,218,203,1145,1,,holidjr01
52,DeMarcus Cousins,20,SAC,C,81,62,2309,432,1004,.430,3,18,.167,429,986,.435,.432,276,402,.687,217,482,699,204,85,68,268,332,1143,0,ROY-3,couside01
53,John Wall,20,WAS,PG,69,64,2606,398,972,.409,34,115,.296,364,857,.425,.427,301,393,.766,35,282,317,574,121,35,261,175,1131,1,ROY-2,walljo01
54,Nick Young,25,WAS,SG,64,40,2034,412,935,.441,105,271,.387,307,664,.462,.497,186,228,.816,26,148,174,75,45,17,90,144,1115,0,,youngni01
55,Gerald Wallace,28,2TM,SF,71,63,2693,386,851,.454,62,186,.333,324,665,.487,.490,279,374,.746,111,458,569,173,105,63,152,183,1113,0,DPOY-23,wallage01
55,Gerald Wallace,28,CHA,SF,48,48,1872,252,582,.433,35,106,.330,217,476,.456,.463,210,284,.739,72,322,394,116,59,48,100,120,749,0,,wallage01
55,Gerald Wallace,28,POR,PF,23,15,821,134,269,.498,27,80,.338,107,189,.566,.548,69,90,.767,39,136,175,57,46,15,52,63,364,0,,wallage01
56,Mike Conley,23,MEM,PG,81,81,2872,423,953,.444,80,217,.369,343,736,.466,.486,181,247,.733,32,215,247,528,144,18,176,182,1107,0,,conlemi01
57,Steve Nash,36,PHO,PG,75,75,2497,399,811,.492,81,205,.395,318,606,.525,.542,227,249,.912,40,220,260,855,48,4,265,87,1106,0,,nashst01
58,J.J. Hickson,22,CLE,C,80,66,2256,429,936,.458,0,5,.000,429,931,.461,.458,247,367,.673,217,478,695,91,48,54,173,215,1105,0,,hicksjj01
59,Wilson Chandler,23,2TM,SF,72,49,2401,429,953,.450,112,320,.350,317,633,.501,.509,130,161,.807,75,333,408,120,48,94,104,199,1100,0,,chandwi01
59,Wilson Chandler,23,NYK,SF,51,30,1759,328,712,.461,86,245,.351,242,467,.518,.521,96,119,.807,62,241,303,86,34,70,67,152,838,0,,chandwi01
59,Wilson Chandler,23,DEN,SF,21,19,642,101,241,.419,26,75,.347,75,166,.452,.473,34,42,.810,13,92,105,34,14,24,37,47,262,0,,chandwi01
60,Tayshaun Prince,30,DET,SF,78,78,2562,473,1001,.473,34,98,.347,439,903,.486,.490,118,168,.702,78,251,329,215,30,41,82,90,1098,0,,princta01
61,Nenê,28,DEN,C,75,75,2291,402,654,.615,1,5,.200,401,649,.618,.615,286,402,.711,145,426,571,149,84,73,134,238,1091,0,,hilarne01
62,Beno Udrih,28,SAC,PG,79,64,2734,412,824,.500,65,182,.357,347,642,.540,.539,197,228,.864,41,224,265,386,94,9,141,181,1086,0,,udrihbe01
63,Rodney Stuckey,24,DET,PG,70,54,2183,363,827,.439,26,90,.289,337,737,.457,.455,330,381,.866,70,146,216,361,76,10,155,177,1082,0,,stuckro01
64,Devin Harris,27,2TM,PG,71,70,2254,343,813,.422,58,180,.322,285,633,.450,.458,335,402,.833,17,152,169,503,70,7,207,163,1079,0,,harride01
64,Devin Harris,27,NJN,PG,54,54,1724,260,612,.425,33,110,.300,227,502,.452,.452,258,307,.840,11,118,129,411,57,5,158,130,811,0,,harride01
64,Devin Harris,27,UTA,PG,17,16,530,83,201,.413,25,70,.357,58,131,.443,.475,77,95,.811,6,34,40,92,13,2,49,33,268,0,,harride01
65,Jamal Crawford,30,ATL,SG,76,0,2297,368,874,.421,119,349,.341,249,525,.474,.489,222,260,.854,22,108,130,241,57,14,145,97,1077,0,6MOY-5,crawfja01
66,Andray Blatche,24,WAS,PF,64,63,2172,426,957,.445,4,18,.222,422,939,.449,.447,220,283,.777,183,343,526,144,98,51,172,182,1076,0,,blatcan01
67,Ramon Sessions,24,CLE,PG,81,38,2133,362,776,.466,3,15,.200,359,761,.472,.468,348,423,.823,46,209,255,419,60,8,178,93,1075,0,,sessira01
68,Rudy Gay,24,MEM,SF,54,54,2152,409,869,.471,57,144,.396,352,725,.486,.503,194,241,.805,82,254,336,153,91,58,135,131,1069,0,,gayru01
69,Kevin Garnett,34,BOS,PF,71,71,2220,434,822,.528,1,5,.200,433,817,.530,.529,187,217,.862,83,548,631,171,95,57,115,148,1056,0,DPOY-2ASDEF1,garneke01
70,Grant Hill,38,PHO,SF,80,80,2409,399,825,.484,45,114,.395,354,711,.498,.511,213,257,.829,77,261,338,200,64,35,134,184,1056,0,DPOY-7,hillgr01
71,Thaddeus Young,22,PHI,PF,82,1,2135,458,847,.541,6,22,.273,452,825,.548,.544,123,174,.707,153,281,434,82,90,26,99,170,1045,0,6MOY-3,youngth01
72,Darren Collison,23,IND,PG,79,79,2360,398,870,.457,41,124,.331,357,746,.479,.481,202,232,.871,40,185,225,403,87,14,194,109,1039,0,,collida01
73,Carlos Boozer,29,CHI,C,59,59,1882,431,845,.510,0,0,,431,845,.510,.510,171,244,.701,130,435,565,145,45,18,149,186,1033,0,,boozeca01
74,Andre Miller,34,POR,PG,81,81,2650,388,844,.460,4,37,.108,384,807,.476,.462,249,292,.853,97,205,302,566,114,12,197,171,1029,0,,millean02
75,Lou Williams,24,PHI,SG,75,0,1747,323,795,.406,88,253,.348,235,542,.434,.462,293,356,.823,32,117,149,252,47,17,102,128,1027,0,6MOY-6,willilo02
76,Roy Hibbert,24,IND,C,81,80,2244,410,890,.461,0,4,.000,410,886,.463,.461,205,275,.745,182,428,610,166,33,142,185,256,1025,0,,hibbero01
77,John Salmons,31,MIL,SG,73,70,2554,373,898,.415,83,219,.379,290,679,.427,.462,195,240,.813,27,239,266,252,72,28,137,157,1024,0,,salmojo01
78,Tim Duncan,34,SAS,C,76,76,2156,419,838,.500,0,4,.000,419,834,.502,.500,184,257,.716,169,509,678,203,50,146,122,119,1022,1,DPOY-17AS,duncati01
79,Vince Carter,34,2TM,SG,73,63,2051,389,891,.437,116,321,.361,273,570,.479,.502,128,173,.740,54,221,275,146,67,20,90,193,1022,0,,cartevi01
79,Vince Carter,34,ORL,SG,22,22,664,125,266,.470,27,78,.346,98,188,.521,.521,56,75,.747,11,79,90,64,20,3,36,70,333,0,,cartevi01
79,Vince Carter,34,PHO,SG,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689,0,,cartevi01
80,Brandon Jennings,21,MIL,PG,63,61,2169,361,926,.390,98,303,.323,263,623,.422,.443,199,246,.809,42,192,234,305,95,21,146,131,1019,1,,jennibr01
81,Tyreke Evans,21,SAC,SG,57,53,2107,382,933,.409,43,148,.291,339,785,.432,.432,205,266,.771,46,229,275,319,85,30,184,143,1012,0,,evansty01
82,Kyle Lowry,24,HOU,PG,75,71,2563,345,809,.426,129,343,.376,216,466,.464,.506,192,251,.765,89,220,309,500,102,23,158,207,1011,1,,lowryky01
83,Antawn Jamison,34,CLE,PF,56,38,1842,374,876,.427,91,263,.346,283,613,.462,.479,171,234,.731,86,289,375,93,50,30,77,137,1010,0,,jamisan01
84,C.J. Miles,23,UTA,SF,78,19,1969,366,899,.407,109,339,.322,257,560,.459,.468,159,196,.811,54,201,255,135,74,38,93,221,1000,0,,milescj01
85,Shawn Marion,32,DAL,SF,80,27,2253,434,834,.520,5,33,.152,429,801,.536,.523,126,164,.768,168,383,551,110,68,50,130,144,999,0,,mariosh01
86,James Harden,21,OKC,SG,82,5,2189,298,684,.436,113,324,.349,185,360,.514,.518,289,343,.843,42,213,255,176,92,24,106,207,998,0,6MOY-7,hardeja01
87,Jeff Green,24,2TM,SF,75,51,2427,368,820,.449,64,211,.303,304,609,.499,.488,198,244,.811,73,287,360,108,53,37,99,210,998,0,,greenje02
87,Jeff Green,24,OKC,PF,49,49,1815,270,618,.437,56,184,.304,214,434,.493,.482,148,181,.818,57,217,274,89,40,21,76,142,744,0,,greenje02
87,Jeff Green,24,BOS,SF,26,2,612,98,202,.485,8,27,.296,90,175,.514,.505,50,63,.794,16,70,86,19,13,16,23,68,254,0,,greenje02
88,Jameer Nelson,28,ORL,PG,76,76,2319,374,838,.446,119,297,.401,255,541,.471,.517,130,162,.802,37,189,226,456,75,3,194,209,997,0,,nelsoja01
89,Nicolas Batum,22,POR,SF,80,67,2522,367,807,.455,118,342,.345,249,465,.535,.528,138,164,.841,109,252,361,123,68,49,83,194,990,0,,batumni01
90,Channing Frye,27,PHO,PF,77,64,2541,358,829,.432,171,439,.390,187,390,.479,.535,89,107,.832,65,448,513,96,46,79,73,272,976,0,,fryech01
91,Danilo Gallinari,22,2TM,SF,62,60,2104,265,640,.414,103,293,.352,162,347,.467,.495,337,391,.862,59,246,305,104,51,27,83,144,970,0,,gallida01
91,Danilo Gallinari,22,NYK,PF,48,48,1671,211,509,.415,83,239,.347,128,270,.474,.496,259,290,.893,48,181,229,82,38,18,58,117,764,0,,gallida01
91,Danilo Gallinari,22,DEN,SF,14,12,433,54,131,.412,20,54,.370,34,77,.442,.489,78,101,.772,11,65,76,22,13,9,25,27,206,0,,gallida01
92,J.R. Smith,25,DEN,SF,79,6,1968,341,784,.435,124,318,.390,217,466,.466,.514,163,221,.738,45,277,322,175,92,16,100,173,969,0,6MOY-10,smithjr01
93,Marc Gasol,26,MEM,C,81,81,2586,364,691,.527,3,7,.429,361,684,.528,.529,220,294,.748,154,415,569,200,74,136,146,265,951,0,,gasolma01
94,Andre Iguodala,27,PHI,SF,67,67,2469,338,759,.445,61,181,.337,277,578,.479,.486,208,300,.693,61,326,387,422,101,38,138,109,945,3,DPOY-8DEF2,iguodan01
95,Ty Lawson,23,DEN,PG,80,31,2103,346,688,.503,69,171,.404,277,517,.536,.553,172,225,.764,67,142,209,377,80,4,137,133,933,0,6MOY-11,lawsoty01
96,Marcus Thornton,23,2TM,SG,73,23,1775,350,807,.434,88,240,.367,262,567,.462,.488,145,184,.788,61,197,258,135,64,9,93,110,933,0,,thornma01
96,Marcus Thornton,23,NOH,SG,46,0,745,137,334,.410,35,93,.376,102,241,.423,.463,50,66,.758,25,106,131,43,19,4,37,50,359,0,,thornma01
96,Marcus Thornton,23,SAC,SG,27,23,1030,213,473,.450,53,147,.361,160,326,.491,.506,95,118,.805,36,91,127,92,45,5,56,60,574,0,,thornma01
97,Boris Diaw,28,CHA,PF,82,82,2778,381,774,.492,78,226,.345,303,548,.553,.543,84,123,.683,105,309,414,337,74,46,166,190,924,1,,diawbo01
98,Ben Gordon,27,DET,SG,82,27,2131,339,770,.440,107,266,.402,232,504,.460,.510,136,160,.850,41,154,195,171,48,16,141,178,921,0,,gordobe01
99,Glen Davis,25,BOS,C,78,13,2298,359,801,.448,2,15,.133,357,786,.454,.449,195,265,.736,101,324,425,92,78,30,85,231,915,0,6MOY-4,davisgl01
100,Carl Landry,27,2TM,PF,76,26,2008,345,687,.502,0,4,.000,345,683,.505,.502,213,288,.740,165,182,347,63,40,32,109,196,903,0,,landrca01
100,Carl Landry,27,SAC,PF,53,16,1406,238,484,.492,0,3,.000,238,481,.495,.492,155,215,.721,127,126,253,50,30,20,82,125,631,0,,landrca01
100,Carl Landry,27,NOH,PF,23,10,602,107,203,.527,0,1,.000,107,202,.530,.527,58,73,.795,38,56,94,13,10,12,27,71,272,0,,landrca01
101,Richard Jefferson,30,SAS,SF,81,81,2459,304,642,.474,135,307,.440,169,335,.504,.579,148,195,.759,54,256,310,107,38,34,93,164,891,0,,jefferi01
102,George Hill,24,SAS,PG,76,5,2148,287,633,.453,77,204,.377,210,429,.490,.514,233,270,.863,24,175,199,193,66,21,99,153,884,0,6MOY-8,hillge01
103,Hedo Türkoğlu,31,2TM,SF,81,72,2540,322,722,.446,127,310,.410,195,412,.473,.534,106,156,.679,45,311,356,343,72,34,132,247,877,1,,turkohe01
103,Hedo Türkoğlu,31,PHO,PF,25,16,630,85,193,.440,41,97,.423,44,96,.458,.547,26,36,.722,20,80,100,58,18,14,31,77,237,0,,turkohe01
103,Hedo Türkoğlu,31,ORL,SF,56,56,1910,237,529,.448,86,213,.404,151,316,.478,.529,80,120,.667,25,231,256,285,54,20,101,170,640,1,,turkohe01
104,Arron Afflalo,25,DEN,SG,69,69,2324,312,627,.498,105,248,.423,207,379,.546,.581,138,163,.847,45,206,251,168,34,31,71,153,867,0,,afflaar01
105,Jared Dudley,25,PHO,SF,82,15,2140,300,629,.477,105,253,.415,195,376,.519,.560,162,218,.743,111,207,318,108,87,20,77,139,867,0,,dudleja01
106,Toney Douglas,24,NYK,SG,81,9,1971,314,755,.416,143,383,.373,171,372,.460,.511,85,107,.794,65,179,244,244,89,4,89,177,856,0,6MOY-14,douglto01
107,Brandon Bass,25,ORL,PF,76,51,1980,332,645,.515,0,2,.000,332,643,.516,.515,190,233,.815,134,290,424,57,27,52,97,159,854,0,,bassbr01
108,Luke Ridnour,29,MIN,PG,71,66,2159,319,681,.468,81,184,.440,238,497,.479,.528,121,137,.883,37,162,199,384,89,10,158,146,840,0,,ridnolu01
109,Charlie Villanueva,26,DET,PF,76,11,1666,313,708,.442,125,323,.387,188,385,.488,.530,89,116,.767,50,245,295,48,42,42,66,175,840,0,,villach01
110,Marco Belinelli,24,NOH,SG,80,69,1957,302,691,.437,134,324,.414,168,367,.458,.534,98,125,.784,17,134,151,92,38,6,77,146,836,0,,belinma01
111,Andrew Bogut,26,MIL,C,65,65,2297,367,742,.495,0,4,.000,367,738,.497,.495,96,217,.442,199,521,720,131,47,168,125,217,830,0,DPOY-6,bogutan01
112,Trevor Ariza,25,NOH,SF,75,75,2600,303,762,.398,82,271,.303,221,491,.450,.451,138,197,.701,61,347,408,162,120,31,118,180,826,0,,arizatr01
113,Marcin Gortat,26,2TM,C,80,14,2032,338,603,.561,1,4,.250,337,599,.563,.561,140,193,.725,148,483,631,70,36,91,81,188,817,0,6MOY-9,gortama01
113,Marcin Gortat,26,ORL,C,25,2,396,44,81,.543,0,0,,44,81,.543,.543,12,18,.667,38,80,118,17,7,21,17,52,100,0,,gortama01
113,Marcin Gortat,26,PHO,C,55,12,1636,294,522,.563,1,4,.250,293,518,.566,.564,128,175,.731,110,403,513,53,29,70,64,136,717,0,,gortama01
114,Mo Williams,28,2TM,PG,58,56,1788,291,730,.399,79,244,.324,212,486,.436,.453,151,177,.853,21,132,153,380,53,10,171,150,812,0,,willima01
114,Mo Williams,28,CLE,PG,36,34,1065,178,462,.385,36,136,.265,142,326,.436,.424,85,102,.833,15,82,97,257,33,10,105,91,477,0,,willima01
114,Mo Williams,28,LAC,PG,22,22,723,113,268,.422,43,108,.398,70,160,.438,.502,66,75,.880,6,50,56,123,20,0,66,59,335,0,,willima01
115,Serge Ibaka,21,OKC,PF,82,44,2216,335,617,.543,0,1,.000,335,616,.544,.543,138,184,.750,214,408,622,22,31,198,71,267,808,0,DPOY-14,ibakase01
116,Corey Maggette,31,MIL,SF,67,18,1401,253,559,.453,28,78,.359,225,481,.468,.478,271,325,.834,44,197,241,84,21,5,127,175,805,0,,maggeco01
117,O.J. Mayo,23,MEM,SG,71,17,1869,304,747,.407,96,264,.364,208,483,.431,.471,99,131,.756,35,135,170,145,73,26,99,127,803,0,6MOY-11,mayooj01
118,JaVale McGee,23,WAS,C,79,75,2193,332,604,.550,0,3,.000,332,601,.552,.550,134,230,.583,223,411,634,38,41,193,102,232,798,1,DPOY-19,mcgeeja01
119,Landry Fields,22,NYK,SG,82,81,2541,299,602,.497,86,219,.393,213,383,.556,.568,113,147,.769,105,416,521,155,80,17,107,114,797,0,ROY-4,fieldla01
120,Gary Neal,26,SAS,SG,80,1,1685,285,632,.451,129,308,.419,156,324,.481,.553,84,104,.808,21,175,196,96,27,4,78,148,783,0,ROY-5,nealga01
121,Daniel Gibson,24,CLE,SG,67,15,1865,264,660,.400,118,293,.403,146,367,.398,.489,134,163,.822,24,153,177,201,48,21,80,154,780,0,,gibsoda01
122,Richard Hamilton,32,DET,SG,55,39,1498,288,671,.429,55,144,.382,233,527,.442,.470,146,172,.849,24,102,126,171,39,4,88,95,777,0,,hamilri01
123,Jodie Meeks,23,PHI,SG,74,64,2062,242,570,.425,138,348,.397,104,222,.468,.546,152,170,.894,21,150,171,78,63,4,60,97,774,0,,meeksjo01
124,Leandro Barbosa,28,TOR,SG,58,0,1395,294,653,.450,72,213,.338,222,440,.505,.505,109,137,.796,14,85,99,119,50,6,84,112,769,0,,barbole01
125,J.J. Barea,26,DAL,PG,81,2,1669,285,649,.439,66,189,.349,219,460,.476,.490,133,157,.847,29,130,159,317,30,1,136,136,769,0,,bareajo01
126,Tyler Hansbrough,25,IND,PF,70,29,1535,285,613,.465,0,2,.000,285,611,.466,.465,197,253,.779,145,221,366,41,37,15,76,160,767,0,,hansbty01
